feature_set,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
all48_full,XGBoost,weighted,0.25,0.7048780487804878,0.41765456527520745,0.5232635525748319,0.864498053922742,0.4962689071327537
all48_full,XGBoost,weighted,0.3,0.6516840882694541,0.4351323665761858,0.5209161500423637,0.864498053922742,0.4962689071327537
all48_full,XGBoost,weighted,0.35,0.6084785133565621,0.44711418292452587,0.5146761497112107,0.864498053922742,0.4962689071327537
all48_full,XGBoost,weighted,0.4,0.5698025551684088,0.47048367905081656,0.5150741362099406,0.864498053922742,0.4962689071327537
all48_full,XGBoost,weighted,0.45,0.5312427409988386,0.4744871173640831,0.5006268374133607,0.864498053922742,0.4962689071327537
all48_full,XGBoost,weighted,0.5,0.4975609756097561,0.4950397976007732,0.4959067643121505,0.864498053922742,0.4962689071327537
top20_full,LightGBM,smote,0.2,0.6855981416957027,0.4219564988982031,0.5218470787189525,0.8587972444609943,0.49485908906597276
top20_full,LightGBM,smote,0.25,0.6516840882694541,0.45156637367590713,0.5327130074635175,0.8587972444609943,0.49485908906597276
top20_full,LightGBM,smote,0.3,0.6178861788617886,0.46508503281398517,0.5300468739921602,0.8587972444609943,0.49485908906597276
top20_full,LightGBM,smote,0.35,0.5600464576074332,0.47505630178437014,0.5129633119834323,0.8587972444609943,0.49485908906597276
top20_full,LightGBM,smote,0.4,0.5263646922183508,0.49234610123119016,0.5079021024671675,0.8587972444609943,0.49485908906597276
top20_full,LightGBM,smote,0.45,0.5072009291521486,0.5109566044101388,0.5082819362676385,0.8587972444609943,0.49485908906597276
top20_full,LightGBM,smote,0.5,0.4588850174216028,0.5224029550620738,0.4871144364815251,0.8587972444609943,0.49485908906597276
top20_full,LightGBM,weighted,0.2,0.7774680603948896,0.35437669335075467,0.4861091502846834,0.859531345586084,0.49448918364675726
top20_full,LightGBM,weighted,0.25,0.7581881533101045,0.38098781491292105,0.506165291142416,0.859531345586084,0.49448918364675726
top20_full,LightGBM,weighted,0.3,0.7098722415795586,0.39549638460035175,0.5069566819715264,0.859531345586084,0.49448918364675726
top20_full,LightGBM,weighted,0.35,0.6616724738675959,0.41222494019022465,0.5073143918597619,0.859531345586084,0.49448918364675726
top20_full,LightGBM,weighted,0.4,0.6277584204413473,0.4234404307199127,0.5048348570317058,0.859531345586084,0.49448918364675726
top20_full,LightGBM,weighted,0.45,0.5939605110336817,0.4430361968870427,0.5066467954374612,0.859531345586084,0.49448918364675726
top20_full,LightGBM,weighted,0.5,0.5795586527293844,0.459971485635445,0.5116872351211839,0.859531345586084,0.49448918364675726
top20_full,Logistic,smote,0.2,0.9370499419279907,0.2697433340993474,0.4186548010530863,0.8660908228493408,0.5471742383472359
top20_full,Logistic,smote,0.25,0.9176538908246226,0.284696745548867,0.4342964421035326,0.8660908228493408,0.5471742383472359
top20_full,Logistic,smote,0.3,0.8936120789779327,0.29960859942754625,0.44847013912087597,0.8660908228493408,0.5471742383472359
top20_full,Logistic,smote,0.35,0.8792102206736352,0.3151099275058442,0.46343327854580885,0.8660908228493408,0.5471742383472359
top20_full,Logistic,smote,0.4,0.8357723577235772,0.32355007161882055,0.4657558341456406,0.8660908228493408,0.5471742383472359
top20_full,Logistic,smote,0.45,0.7970963995354239,0.34022084558954235,0.4762834861062344,0.8660908228493408,0.5471742383472359
top20_full,Logistic,smote,0.5,0.7583042973286875,0.3565886751049125,0.48430550017108465,0.8660908228493408,0.5471742383472359
top20_full,Logistic,weighted,0.2,0.9564459930313589,0.24818630867206837,0.3939290389014488,0.8637550868420352,0.5395701577452411
top20_full,Logistic,weighted,0.25,0.9227642276422765,0.2713345187661054,0.41898289587294935,0.8637550868420352,0.5395701577452411
top20_full,Logistic,weighted,0.3,0.8937282229965156,0.284556500349626,0.4312195950217662,0.8637550868420352,0.5395701577452411
top20_full,Logistic,weighted,0.35,0.8696864111498257,0.3028737978373819,0.44866437245011764,0.8637550868420352,0.5395701577452411
top20_full,Logistic,weighted,0.4,0.8454123112659697,0.3179423809460249,0.4615119213634504,0.8637550868420352,0.5395701577452411
top20_full,Logistic,weighted,0.45,0.8308943089430894,0.3429172823216323,0.48473276446698377,0.8637550868420352,0.5395701577452411
top20_full,Logistic,weighted,0.5,0.7778164924506388,0.3513056720663974,0.48268955706920114,0.8637550868420352,0.5395701577452411
top20_full,RandomForest,smote,0.2,0.9274099883855982,0.2222845012104638,0.35845361071470955,0.8239668945217261,0.4467604573871318
top20_full,RandomForest,smote,0.25,0.8695702671312426,0.23759993262529738,0.3728734833057354,0.8239668945217261,0.4467604573871318
top20_full,RandomForest,smote,0.3,0.8358885017421602,0.260109410535374,0.3962074599192474,0.8239668945217261,0.4467604573871318
top20_full,RandomForest,smote,0.35,0.8069686411149826,0.2864690109329552,0.42207907340880046,0.8239668945217261,0.4467604573871318
top20_full,RandomForest,smote,0.4,0.7343786295005807,0.3076903144695462,0.43281866724364165,0.8239668945217261,0.4467604573871318
top20_full,RandomForest,smote,0.45,0.6717770034843206,0.33374007445306336,0.4451049837799642,0.8239668945217261,0.4467604573871318
top20_full,RandomForest,smote,0.5,0.5849012775842044,0.37257556271926207,0.4536676311819292,0.8239668945217261,0.4467604573871318
top20_full,RandomForest,weighted,0.2,0.9711962833914054,0.20339338048139594,0.33625668555706667,0.8431284410990239,0.49381615094009473
top20_full,RandomForest,weighted,0.25,0.9421602787456447,0.21942306624465546,0.3557123962580332,0.8431284410990239,0.49381615094009473
top20_full,RandomForest,weighted,0.3,0.913124274099884,0.24231249509353042,0.38276789596415317,0.8431284410990239,0.49381615094009473
top20_full,RandomForest,weighted,0.35,0.8742160278745643,0.26734655019688097,0.4091635582654817,0.8431284410990239,0.49381615094009473
top20_full,RandomForest,weighted,0.4,0.8307781649245063,0.2973290787573549,0.4375467863834178,0.8431284410990239,0.49381615094009473
top20_full,RandomForest,weighted,0.45,0.7828106852497096,0.328321728235084,0.46213788617356066,0.8431284410990239,0.49381615094009473
top20_full,RandomForest,weighted,0.5,0.7149825783972126,0.3774384200063359,0.49360602187961683,0.8431284410990239,0.49381615094009473
top20_full,Tree,smote,0.2,0.6907084785133566,0.2588497737407395,0.374103986942371,0.7395448218386218,0.30634838380533924
top20_full,Tree,smote,0.25,0.6567944250871081,0.25776810599240507,0.36793543734726486,0.7395448218386218,0.30634838380533924
top20_full,Tree,smote,0.3,0.6087108013937282,0.26731709447039187,0.37006610325495776,0.7395448218386218,0.30634838380533924
top20_full,Tree,smote,0.35,0.5940766550522648,0.2834803414918746,0.38187422716834485,0.7395448218386218,0.30634838380533924
top20_full,Tree,smote,0.4,0.5796747967479675,0.2932202223674865,0.3868758596179497,0.7395448218386218,0.30634838380533924
top20_full,Tree,smote,0.45,0.5408826945412312,0.2982278835083109,0.38372961779232095,0.7395448218386218,0.30634838380533924
